Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
545,Missile Command,2600,1980,Shooter,Atari,2.56,0.17,0,0.03,2.76
1971,Defender,2600,1980,Misc,Atari,0.99,0.05,0,0.01,1.05
4027,Ice Hockey,2600,1980,Sports,Activision,0.46,0.03,0,0.01,0.49
6319,Bridge,2600,1980,Misc,Activision,0.25,0.02,0,0,0.27
6898,Checkers,2600,1980,Misc,Atari,0.22,0.01,0,0,0.24
736,Frogger,2600,1981,Action,Parker Bros.,2.06,0.12,0,0.02,2.2
768,Demon Attack,2600,1981,Shooter,Imagic,1.99,0.12,0,0.02,2.13
866,E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.84,0.11,0,0.02,1.97
1155,River Raid,2600,1981,Shooter,Activision,1.49,0.09,0,0.02,1.6
1308,Donkey Kong,2600,1981,Platform,Coleco,1.36,0.08,0,0.02,1.46
1431,Centipede,2600,1981,Shooter,Atari,1.26,0.08,0,0.01,1.36
1558,Atlantis,2600,1981,Shooter,Imagic,1.18,0.08,0,0.01,1.27
2598,Alien,2600,1981,Action,20th Century Fox Video Games,0.74,0.04,0,0.01,0.79
2666,Air Raid,2600,1981,Action,Men-A-Vision,0.72,0.04,0,0.01,0.77
2808,Berzerk,2600,1981,Shooter,Atari,0.68,0.04,0,0.01,0.73
2942,King Kong,2600,1981,Action,Tigervision,0.65,0.04,0,0.01,0.69
3405,BurgerTime,2600,1981,Puzzle,Mattel Interactive,0.55,0.03,0,0.01,0.59
3410,Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,0.55,0.03,0,0.01,0.59
4017,Raiders of the Lost Ark,2600,1981,Action,Atari,0.46,0.03,0,0.01,0.5
4141,Grand Prix,2600,1981,Racing,Activision,0.45,0.03,0,0,0.48
4348,Phoenix,2600,1981,Simulation,Atari,0.42,0.02,0,0,0.45
4404,Jawbreaker,2600,1981,Action,Tigervision,0.42,0.03,0,0,0.45
4519,Barnstorming,2600,1981,Action,Activision,0.4,0.02,0,0,0.43
4910,Laser Blast,2600,1981,Action,Activision,0.37,0.02,0,0,0.39
5248,Frogs And Flies,2600,1981,Action,Mattel Interactive,0.33,0.02,0,0,0.36
5391,Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34
5402,Carnival,2600,1981,Shooter,Coleco,0.32,0.02,0,0,0.34
5566,Fireball,2600,1981,Action,Starpath Corp.,0.3,0.02,0,0,0.33
6023,Fast Food,2600,1981,Action,Unknown,0.27,0.02,0,0,0.29
6539,RealSports Football,2600,1981,Sports,Atari,0.24,0.01,0,0,0.26
6868,Front Line,2600,1981,Action,Taito,0.22,0.01,0,0,0.24
6942,Dark Cavern,2600,1981,Shooter,Mattel Interactive,0.22,0.01,0,0,0.24
7150,Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,0.21,0.01,0,0,0.22
7152,Reactor,2600,1981,Action,Parker Bros.,0.21,0.01,0,0,0.22
7373,RealSports Baseball,2600,1981,Sports,Atari,0.2,0.01,0,0,0.21
7906,International Soccer,2600,1981,Sports,Mattel Interactive,0.18,0.01,0,0,0.19
90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81
1117,Dig Dug,2600,1982,Puzzle,Atari,1.52,0.1,0,0.02,1.64
1165,Mario Bros.,2600,1982,Platform,Atari,1.48,0.09,0,0.02,1.59
1819,Moon Patrol,2600,1982,Shooter,Atari,1.05,0.06,0,0.01,1.12
1853,Jungle Hunt,2600,1982,Platform,Atari,1.03,0.06,0,0.01,1.1
1907,Joust,2600,1982,Platform,Atari,1.01,0.06,0,0.01,1.08
2631,Yars' Revenge,2600,1982,Shooter,Atari,0.73,0.04,0,0.01,0.78
2662,Galaxian,2600,1982,Shooter,Atari,0.72,0.05,0,0.01,0.77
2845,Kangaroo,2600,1982,Platform,Atari,0.67,0.04,0,0.01,0.72
3250,Battlezone,2600,1982,Shooter,Atari,0.58,0.03,0,0.01,0.62
3449,Q*bert,2600,1982,Puzzle,Parker Bros.,0.55,0.03,0,0.01,0.58
3645,The Activision Decathlon,2600,1982,Sports,Activision,0.52,0.03,0,0.01,0.55
3750,Popeye,2600,1982,Platform,Parker Bros.,0.5,0.03,0,0.01,0.54
4015,RealSports Tennis,2600,1982,Sports,Atari,0.46,0.03,0,0.01,0.5
4803,Congo Bongo,2600,1982,Action,Sega,0.37,0.02,0,0,0.4
4896,Bump 'n' Jump,2600,1982,Racing,Mattel Interactive,0.37,0.02,0,0,0.39
5066,Gravitar,2600,1982,Action,Atari,0.35,0.02,0,0,0.38
5397,Bank Heist,2600,1982,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34
5660,Frankenstein's Monster,2600,1982,Action,Data Age,0.3,0.02,0,0,0.32
5775,Mountain King,2600,1982,Action,CBS Electronics,0.29,0.02,0,0,0.31
8760,Pressure Cooker,2600,1982,Action,Activision,0.14,0.01,0,0,0.15
422,Baseball,NES,1983,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2
702,Mario Bros.,NES,1983,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28
2654,Jr. Pac-Man,2600,1983,Puzzle,Atari,0.72,0.05,0,0.01,0.78
2674,Crystal Castles,2600,1983,Action,Atari,0.72,0.04,0,0.01,0.77
3955,Midnight Magic,2600,1983,Action,Atari,0.47,0.03,0,0.01,0.5
4782,Pengo,2600,1983,Adventure,Atari,0.38,0.02,0,0,0.4
6009,Dolphin,2600,1983,Action,Activision,0.27,0.02,0,0,0.29
8459,Mr. Do!'s Castle,2600,1983,Action,Parker Bros.,0.15,0.01,0,0,0.17
278,Excitebike,NES,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16
756,Tennis,NES,1984,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17
1235,F1 Race,NES,1984,Racing,Nintendo,0,0,1.52,0,1.52
1236,Xevious,NES,1984,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01,1.52
2515,Clu Clu Land,NES,1984,Puzzle,Nintendo,0.42,0.1,0.28,0.02,0.82
